countries,type,name,ticker
AM,Market,S&P500,^GSPC
AM,Market,NASDAQ,^IXIC
AM,Market,DOW JONES,^DJI
CA,Market,S&P/TSX,^GSPTSE
EU,Market,STOXX 50,^STOXX50E
GB,Market,FTSE 100 Index,^FTSE
DE,Market,DAX Index,^GDAXI
FR,Market,CAC 40 Index,^FCHI
IT,Market,FTMIB,FTSEMIB.MI
ES,Market,IBEX 35,^IBEX
JP,Market,NIKKEI 225,^N225
KR,Market,KOSPI,^KS11
CN,Market,SSE Com.Index,000001.SS
CN,Market,SZSE Com.Index,399001.SZ
HK,Market,Hang Seng,^HSI
SG,Market,STRAITS TIMES,^STI
AU,Market,S&P/ASX,^AXJO
NZ,Market,S&P/NZX 50,^NZ50
MY,Market,FTSE Bursa Malaysia,^KLSE
IN,Market,Nifty 50 Index,^NSEI
IN,Market,S&P BSE SENSEX,^BSESN
SA,Market,Tadawul Share,^TASI.SR
BR,Market,Bovespa Index,^BVSP
MX,Market,S&P/BMV IPC,^MXX
AR,Market,S&P MERVAL Index,^MERV
AM,Currency,US Dollar INDEX,^DXY
EU,Currency,EUR Index,^XDE
GB,Currency,British Pound Index,^XDB
CH,Currency,Swiss Franc Index,^XDS
JP,Currency,JPN Yen Index,^XDN
CA,Currency,Canada Dollar Index,^XDC
AU,Currency,AUS Dollar Index,^XDA
NZ,Currency,NZL Dollar Index,^XDZ
KR,Currency,USDKRW,KRW=X
CN,Currency,USDCNY,CNY=X
EU,Currency,USDEUR,EUR=X
AM,Energy,Crude Oil,CL=F
AM,Energy,Brent Oil,BZ=F
AM,Energy,Natural Gas,NG=F
AM,Energy,Coal,MTF=F
AM,Energy,Propane,B0=F
AM,Energy,Ethanol,CU=F
AM,Metal,Gold,GC=F
AM,Metal,Silver,SI=F
AM,Metal,Copper,HG=F
AM,Agricultural,Soybeans,ZS=F
AM,Agricultural,Wheat,KE=F
AM,Agricultural,Lumber,LBS=F
AM,Agricultural,Coffee,KC=F
AM,Agricultural,Cotton,CT=F
AM,Agricultural,CoCoa,CC=F
AM,Agricultural,Sugar,SB=F
AM,Agricultural,Corn,ZC=F
AM,Industrial,Platinum,PL=F